Profile,Industrial,Residential,Commercial,Governmental,Others,Central,Eastern,Western,Southern
25359.74045,6368.26443,10899.91044,3833.40524,2774.99033,1483.170011,7385.954449,7497.460323,7905.035343,2571.290339
24640.20576,6391.583199,10473.55937,3683.461216,2666.446309,1425.15567,7132.481556,7364.753062,7663.542201,2479.428944
25079.41068,6483.285475,10673.00399,3753.604181,2717.222587,1452.29445,7264.400008,7487.309908,7802.016931,2525.683833
24450.4822,6488.185007,10309.22665,3625.666804,2624.609111,1402.794627,7046.177806,7365.240622,7592.238995,2446.824777
25565.16111,6499.917816,10942.24821,3848.295071,2785.769032,1488.930985,7428.548614,7589.597758,7962.316486,2584.698257
25067.34188,6588.232097,10605.84451,3729.984767,2700.124566,1443.155941,7237.643918,7526.094642,7789.14977,2514.453553
24787.09089,6577.714745,10451.0344,3675.539375,2660.711713,1422.090656,7143.137623,7466.718824,7696.743535,2480.490902
25563.58323,6544.663145,10915.6616,3838.944789,2779.000392,1485.313299,7418.372768,7606.837502,7958.018097,2580.354862
25384.70157,6505.390404,10835.53488,3810.764907,2758.601061,1474.410315,7365.058408,7556.167342,7901.781611,2561.694211
25009.04342,6546.116236,10596.55672,3726.71833,2697.760002,1441.892135,7226.578625,7498.08186,7773.294118,2511.088818
24024.08781,6456.751842,10082.54379,3545.944383,2566.898295,1371.949491,6905.710447,7268.849164,7452.946617,2396.581578
24028.36449,6419.797027,10106.20808,3554.266909,2572.922945,1375.169532,6915.141348,7255.197213,7457.486481,2400.539446
23949.06233,6342.362857,10105.13597,3553.889858,2572.649999,1375.023648,6904.425456,7209.190442,7437.61708,2397.829354
23770.40456,6372.054515,9985.556527,3511.834791,2542.206465,1358.752263,6836.344473,7185.61488,7375.639739,2372.805469
24027.86742,6296.474823,10176.70197,3579.059006,2590.869869,1384.76176,6941.513643,7206.727561,7467.720087,2411.906132
24971.41952,6272.638586,10731.9219,3774.325108,2732.222403,1460.311515,7272.450634,7383.396105,7783.830297,2531.742481
25036.05964,6216.876246,10801.02533,3798.628193,2749.815331,1469.71454,7306.77304,7374.267571,7810.050556,2544.968474
26465.01068,6152.590004,11658.04943,4100.036234,2968.003691,1586.331318,7814.023697,7630.764803,8291.156748,2729.065427
26864.69667,6179.510779,11871.99317,4175.278418,3022.471278,1615.44302,7946.239953,7720.120862,8421.938637,2776.397215
26472.00364,6152.741539,11661.97598,4101.417168,2969.003344,1586.86561,7816.405736,7632.202879,8293.471866,2729.923157
26315.14438,6171.362636,11561.26131,4065.996682,2943.362563,1573.161188,7758.234565,7608.582523,8239.684579,2708.642714
25913.55029,6311.053083,11250.5981,3956.739087,2864.271324,1530.888697,7589.497967,7584.201545,8094.218103,2645.632672
25459.58071,6243.205339,11028.98849,3878.800886,2807.852099,1500.733889,7447.346847,7468.090552,7948.816826,2595.326481
25478.91951,6327.239038,10991.8577,3865.742304,2798.399031,1495.681436,7435.937041,7504.864342,7948.168451,2589.949678
24953.62397,6418.052525,10638.24995,3741.381482,2708.374612,1447.565406,7235.006905,7436.924651,7765.644368,2516.048047
25026.05207,6414.665468,10681.76307,3756.684675,2719.452547,1453.486314,7260.745202,7449.875068,7790.040661,2525.391144
24480.34913,6436.781974,10355.87049,3642.071042,2636.484089,1409.141536,7067.554805,7350.966559,7606.515965,2455.311799
25029.35693,6492.480062,10638.99917,3741.644979,2708.565357,1447.667355,7245.13751,7481.048451,7784.579146,2518.59182
25049.86568,6568.349818,10607.22545,3730.470431,2700.476136,1443.343848,7235.888894,7514.850683,7785.008656,2514.117445
25301.70293,6494.717587,10794.02442,3796.166031,2748.03298,1468.761913,7338.696381,7535.618163,7875.052069,2552.336318
25318.41295,6552.649665,10770.36555,3787.845411,2742.009708,1465.54261,7331.996985,7561.635649,7875.729598,2549.050716
25652.09373,6512.110698,10985.14411,3863.381191,2796.689829,1494.767906,7455.941855,7611.518734,7990.227436,2594.405709
24848.4074,6478.979564,10542.89398,3707.845606,2684.098095,1434.590153,7185.56189,7440.07947,7725.481055,2497.284987
24478.94189,6535.964776,10298.13814,3621.767071,2621.786106,1401.285794,7045.720735,7389.592393,7597.683975,2445.944787
23849.48745,6409.364197,10009.53172,3520.26666,2548.310269,1362.014609,6855.621067,7215.840073,7398.819623,2379.206687
24210.06848,6413.893921,10213.88273,3592.135162,2600.335658,1389.821011,6979.153924,7288.704102,7518.471924,2423.738527
23985.99504,6383.735891,10102.5875,3552.993583,2572.001189,1374.676874,6908.273086,7232.699674,7446.422897,2398.599381
24245.87283,6294.690049,10302.84768,3623.423373,2622.985098,1401.926629,7017.174586,7249.006514,7540.442677,2439.249049
24109.47244,6337.384612,10200.05846,3587.273287,2596.816162,1387.93992,6960.886236,7238.862083,7491.43599,2418.288137
24972.9829,6243.588477,10749.49212,3780.504403,2736.695575,1462.702325,7279.243226,7372.309763,7786.800367,2534.629544
25902.99674,6189.172476,11314.49281,3979.210311,2880.538175,1539.582964,7612.087488,7534.314741,8100.982431,2655.612075
26356.06303,6221.851606,11555.76855,4064.064924,2941.964169,1572.413778,7761.496413,7636.453186,8249.048584,2709.064843
26835.6153,6219.178275,11832.53566,4161.401548,3012.425854,1610.073966,7927.66017,7729.946671,8408.912765,2769.095693
26633.55167,6195.810353,11729.97558,4125.332047,2986.315252,1596.118436,7862.917764,7680.94474,8343.618039,2746.071127
26375.02537,6171.54285,11595.5258,4078.047208,2952.085902,1577.823617,7778.87255,7620.45854,8259.603241,2716.091042
25374.05742,6273.194295,10962.69175,3855.484887,2790.973719,1491.712773,7411.361007,7462.992742,7917.818071,2581.885601
25415.81485,6259.943684,10994.26289,3866.58819,2799.011365,1496.008715,7428.631823,7466.02768,7932.836103,2588.319242
25140.31115,6292.003142,10817.74103,3804.506959,2754.070953,1471.989074,7326.600509,7424.288021,7838.41994,2551.002685
24417.69747,6415.971367,10331.85636,3633.62548,2630.370372,1405.873892,7050.400611,7330.452291,7587.41462,2449.429951
24373.20133,6424.343216,10301.51347,3622.954144,2622.645424,1401.74508,7033.23423,7324.963789,7571.896293,2443.10702
23912.23713,6460.092718,10016.4311,3522.693116,2550.066773,1362.953421,6866.369563,7248.10861,7415.430789,2382.328169
24224.236,6532.370367,10154.01598,3571.080539,2585.094281,1381.674837,6958.545013,7337.968147,7513.197711,2414.525132
24463.45029,6527.013077,10294.38465,3620.447001,2620.830512,1400.77505,7042.298289,7383.027082,7593.281805,2444.843119
24214.12923,6561.070427,10131.7433,3563.247428,2579.423916,1378.644155,6948.877751,7347.232886,7507.413137,2410.605452
25042.4337,6542.989916,10617.51495,3734.08916,2703.095723,1444.743958,7238.781127,7503.438377,7784.673076,2515.541124
25289.67701,6593.334934,10730.52215,3773.832828,2731.866043,1460.121048,7313.317411,7571.928767,7862.732893,2541.697936
25831.02403,6538.116945,11072.91288,3894.248715,2819.034735,1506.710756,7512.128496,7656.994859,8047.598802,2614.301869
25552.63493,6549.652795,10906.51423,3835.727734,2776.671576,1484.068599,7413.51837,7606.636214,7953.952755,2578.527592
24506.09674,6512.863802,10326.98182,3631.911144,2629.12937,1405.210604,7060.069509,7385.884797,7608.671562,2451.47087
25057.75756,6454.108662,10677.32212,3755.122829,2718.321932,1452.882025,7263.203266,7471.596816,7797.269116,2525.688366
25068.35351,6384.034156,10723.62187,3771.406058,2730.109311,1459.182115,7281.944894,7446.199885,7806.705408,2533.503327
25051.47762,6351.023218,10732.88237,3774.662897,2732.466927,1460.442207,7283.222977,7429.924717,7803.871201,2534.45873
24315.48956,6258.108366,10363.79888,3644.859389,2638.502564,1410.220366,7049.08695,7248.382484,7566.702208,2451.317917
24405.40833,6303.328643,10389.45299,3653.881722,2645.033804,1413.711166,7070.40247,7283.84677,7592.822205,2458.336884
25665.38007,6268.479189,11132.59876,3915.239731,2834.230068,1514.83232,7512.968961,7518.576548,8015.19443,2618.640133
26880.92188,6242.445529,11845.18484,4165.850158,3015.646189,1611.795163,7938.296378,7748.005008,8422.032932,2772.587563
25909.74036,6147.322535,11342.38246,3989.018861,2887.638554,1543.377957,7623.423849,7519.229085,8106.756297,2660.33113
26056.63592,6173.088667,11411.90311,4013.468682,2905.337704,1552.837755,7668.600649,7558.295492,8153.483829,2676.255952
26304.69808,6275.14568,11495.70086,4042.939633,2926.671636,1564.240263,7732.289167,7647.230727,8227.45565,2697.722534
26165.15599,6290.446193,11406.83097,4011.684852,2904.046396,1552.14758,7680.812301,7625.721932,8179.713104,2678.908655
25693.62235,6331.146991,11112.84068,3908.290983,2829.19989,1512.143803,7509.23231,7548.72511,8019.31161,2616.35332
25049.36517,6321.805406,10748.43914,3780.134079,2736.427499,1462.559044,7288.782407,7418.047916,7805.631758,2536.903088
24448.70334,6349.897774,10387.57385,3653.220845,2644.555397,1413.455469,7075.328579,7310.648415,7603.307819,2459.418524
24238.61348,6469.572163,10198.30996,3586.658352,2596.371012,1387.701997,6977.026239,7316.170773,7523.27927,2422.137196
23937.95601,6451.318081,10036.22821,3529.655587,2555.106885,1365.647248,6877.138891,7249.737251,7424.732294,2386.347571
23797.66919,6479.005699,9939.821463,3495.75016,2530.56285,1352.529012,6822.738664,7232.940327,7375.697297,2366.292899
23458.39499,6507.137377,9728.953646,3421.589753,2476.878358,1323.835857,6699.532953,7177.08791,7260.383699,2321.390429
24250.94131,6592.739239,10134.69521,3564.285591,2580.175439,1379.045827,6954.772472,7366.911973,7516.997104,2412.259762
25345.34658,6516.152544,10806.77081,3800.648827,2751.278063,1470.496337,7349.152767,7552.629962,7887.773167,2555.790683
25049.38115,6586.948924,10596.27264,3726.618423,2697.687679,1441.85348,7231.718305,7522.050435,7783.279,2512.333404
25730.11671,6527.818105,11020.90932,3875.95951,2805.795235,1499.634541,7479.502148,7633.061736,8014.876084,2602.676743
25557.92429,6474.590337,10952.63111,3851.946646,2788.412397,1490.343804,7431.501253,7578.236643,7962.043136,2586.143259
24911.44455,6476.044769,10580.75772,3721.161959,2693.737762,1439.742338,7207.960166,7451.355888,7746.713046,2505.415453
24651.42252,6397.981079,10476.3251,3684.433899,2667.150432,1425.532007,7134.977594,7369.473899,7666.736663,2480.234363
24587.41454,6380.152968,10449.82077,3675.112552,2660.402737,1421.925516,7116.71311,7349.862085,7646.932312,2473.907032
24626.99987,6346.278176,10491.98225,3689.940383,2671.136559,1427.662503,7137.673063,7344.379213,7662.966393,2481.981196
24722.15325,6300.350878,10572.95367,3718.417339,2691.75094,1438.680426,7180.414731,7345.12394,7698.514915,2498.099663
24780.477,6291.286896,10611.62998,3732.019467,2701.597479,1443.94318,7202.504731,7353.067027,7718.694697,2506.210547
25226.91964,6240.277355,10897.13618,3832.429556,2774.284035,1482.792512,7367.639712,7421.073763,7871.612893,2566.593271
25900.78848,6176.144728,11320.70252,3981.394211,2882.119093,1540.427929,7614.12908,7528.769412,8101.345878,2656.544106
25902.39687,6178.853196,11320.07114,3981.172163,2881.958353,1540.342017,7614.101483,7530.148866,8101.652909,2656.493614
25695.08459,6197.391064,11190.44739,3935.584598,2848.957654,1522.703885,7538.526909,7496.549225,8031.07727,2628.931187
25583.77163,6257.916941,11091.82273,3900.899148,2823.848963,1509.283853,7487.06317,7498.344812,7988.918351,2609.445301
25571.66067,6301.579565,11059.8122,3889.64132,2815.699456,1504.928125,7473.483315,7513.083318,7981.20489,2603.889143
24726.9285,6234.987799,10613.20865,3732.574672,2701.99939,1444.157993,7196.132396,7320.427479,7705.616259,2504.752367
24070.26807,6390.721339,10146.9457,3568.593983,2583.29427,1380.712772,6935.868826,7252.053768,7473.887606,2408.457865
24056.5858,6377.411229,10146.73211,3568.518863,2583.239892,1380.683708,6934.009245,7244.135625,7470.455267,2407.985663
23492.85303,6380.747964,9821.269949,3454.056607,2500.381015,1336.397499,6738.635357,7134.30646,7282.512195,2337.399021
24360.60054,6473.845734,10265.87008,3610.418669,2613.571033,1396.895022,7018.228258,7341.896356,7563.527328,2436.948597
24365.2033,6497.69184,10254.82561,3606.534424,2610.75924,1395.392182,7014.684933,7352.157124,7563.048736,2435.312504
23481.90924,6477.698289,9759.345524,3432.278317,2484.615777,1327.971333,6713.988855,7170.176533,7270.693821,2327.050031
24089.61316,6557.066007,10062.57721,3538.922306,2561.815034,1369.232603,6906.744539,7321.114289,7466.300498,2395.453832
24985.67661,6604.472008,10549.6531,3710.222731,2685.818888,1435.509878,7205.949592,7516.364526,7760.594693,2502.767797
25992.1226,6544.778067,11161.55024,3925.421718,2841.600776,1518.771799,7566.321736,7691.367629,8100.665412,2633.767822
26143.4258,6498.750687,11274.80556,3965.252645,2870.434263,1534.18265,7628.473356,7703.142843,8154.914157,2656.895448
24881.85357,6522.550919,10537.08277,3705.801851,2682.618626,1433.79941,7187.73246,7463.76361,7732.940863,2497.416641
25519.86159,6438.990798,10951.21741,3851.44946,2788.052486,1490.15144,7426.020749,7556.769221,7952.374308,2584.697315
24576.72986,6472.438729,10390.72222,3654.328099,2645.356935,1413.883873,7093.160082,7383.953621,7635.593531,2464.022624
23969.71868,6375.724003,10097.84422,3551.325411,2570.793604,1374.031447,6904.377379,7226.34828,7441.680238,2397.312785
23787.07468,6366.27697,9998.440072,3516.365824,2545.486466,1360.50535,6843.34419,7186.635163,7381.676264,2375.419063
24257.63476,6237.867469,10342.21086,3637.26707,2633.006508,1407.282847,7033.466475,7229.037362,7549.149654,2445.981269
25136.89322,6281.485397,10821.81587,3805.940047,2755.10836,1472.543545,7327.684148,7419.488727,7838.169042,2551.551302
26154.49929,6185.178342,11461.13181,4030.781992,2917.870756,1559.53639,7699.790467,7582.330945,8185.042232,2687.335643
25922.108,6175.802794,11333.13483,3985.766549,2885.284215,1542.119616,7621.564264,7532.838364,8108.471796,2659.233581
26432.28288,6245.143637,11586.14579,4074.748338,2949.69786,1576.547262,7782.801575,7660.615687,8272.45742,2716.408202
25765.44554,6164.825757,11249.52058,3956.360133,2863.997,1530.742077,7569.831764,7497.647292,8057.245867,2640.720623
25741.2103,6202.351434,11214.0737,3943.89377,2854.972639,1525.918759,7553.386343,7507.588395,8046.013836,2634.221729
25195.50698,6239.050636,10879.81136,3826.336563,2769.873336,1480.435093,7357.057031,7414.399701,7861.259338,2562.790914
25104.83639,6338.619789,10770.62573,3787.936912,2742.075946,1465.578012,7304.31736,7435.579115,7822.679777,2542.260134
25035.22374,6291.179689,10757.90008,3783.461412,2738.836145,1463.846411,7290.491297,7403.247412,7803.506697,2537.978336
24080.57618,6670.998107,9992.000704,3514.101153,2543.847078,1359.629134,6879.101289,7364.021181,7453.684907,2383.768799
24556.83753,6670.998107,10265.34471,3610.233901,2613.437279,1396.823534,7043.553289,7457.914455,7612.228142,2443.141642
23774.29371,6670.998107,9816.213871,3452.278428,2499.093796,1335.70951,6773.342626,7303.638656,7351.726156,2345.586274
23342.73936,6670.998107,9568.528871,3365.169733,2436.036078,1302.006575,6624.327857,7218.559213,7208.065491,2291.786804
23957.15207,6670.998107,9921.163045,3489.188154,2525.812634,1349.990129,6836.483215,7339.688547,7412.598102,2368.382205
24136.33148,6670.998107,10024.00073,3525.35529,2551.993913,1363.983434,6898.353473,7375.013146,7472.245359,2390.719501
25251.55679,6670.998107,10664.06978,3750.462097,2714.948042,1451.078757,7283.438324,7594.875947,7843.494102,2529.748413
25403.48799,6670.998107,10751.26872,3781.129217,2737.147877,1462.94407,7335.899835,7624.828657,7894.07067,2548.688828
25850.1548,6670.998107,11007.62732,3871.288343,2802.413792,1497.827236,7490.132903,7712.887469,8042.76214,2604.372284
24698.38893,6670.998107,10346.58629,3638.805871,2634.120441,1407.878219,7092.430678,7485.820824,7659.349366,2460.788066
25367.87341,6670.998107,10730.8282,3773.94046,2731.943957,1460.162692,7323.6022,7617.807367,7882.214889,2544.248957
24417.62619,6670.998107,10185.44617,3582.134268,2593.096042,1385.951599,6995.483918,7430.469422,7565.885905,2425.786942
25070.27721,6670.998107,10560.02673,3713.871046,2688.459892,1436.921435,7220.842885,7559.137308,7783.147718,2507.149301
24560.9645,6595.087852,10311.28103,3626.389312,2625.132132,1403.07417,7061.317281,7428.953184,7620.003063,2450.690968
25113.71932,6589.868335,10631.52314,3739.015722,2706.662046,1446.650078,7253.305761,7535.879588,7804.450438,2520.083535
24945.86076,6622.859289,10516.24817,3698.474503,2677.314382,1430.96441,7188.243579,7515.727161,7745.789849,2496.10017
25731.73376,6508.726805,11032.79461,3880.139464,2808.821091,1501.251793,7484.169732,7625.892198,8017.024249,2604.647582
25923.72463,6530.512365,11130.48173,3914.495188,2833.691095,1514.544251,7545.774622,7672.287656,8079.099272,2626.563075
26919.03711,6480.727781,11730.30158,4125.446699,2986.398248,1596.162796,7900.169496,7848.982652,8414.628142,2755.256817
25927.52805,6580.398892,11104.03293,3905.193372,2826.957539,1510.945317,7536.350336,7692.60488,8076.158746,2622.414087
25534.71765,6582.817035,10877.19665,3825.416995,2769.207663,1480.079306,7400.193286,7616.112161,7945.191695,2573.220512
25013.43796,6551.267186,10596.12258,3726.565649,2697.649476,1441.833062,7226.987355,7500.968626,7774.322669,2511.159305
24491.53853,6639.041201,10246.20845,3603.503842,2608.565411,1394.219629,7027.884109,7432.506271,7593.185426,2437.962727
24471.95363,6659.777217,10223.06679,3595.365117,2602.673812,1391.070702,7016.658256,7436.77863,7584.917232,2433.599516
24110.10744,6664.754554,10012.5332,3521.322255,2549.074411,1362.423026,6890.642236,7367.394209,7464.042091,2388.028906
23755.38422,6670.998107,9805.361014,3448.461571,2496.330785,1334.232742,6766.81322,7299.910715,7345.431351,2343.228934
23925.90098,6670.998107,9903.226888,3482.880162,2521.246297,1347.549524,6825.692283,7333.527503,7402.194888,2364.486306
23296.85025,6670.998107,9542.191409,3355.907073,2429.330866,1298.422791,6608.482445,7209.512332,7192.789405,2286.066063
23805.91804,6670.998107,9834.364244,3458.661759,2503.71467,1338.179263,6784.262438,7309.873283,7362.253618,2349.528703
24165.88444,6670.998107,10040.96227,3531.320517,2556.312122,1366.29142,6908.558044,7380.839409,7482.08328,2394.403703
25061.22309,6670.998107,10554.83024,3712.043484,2687.136925,1436.214339,7217.716517,7557.35232,7780.133681,2506.020574
25426.67689,6670.998107,10764.57769,3785.809867,2740.536185,1464.755044,7343.906911,7629.400268,7901.790051,2551.579658
25601.71084,6670.998107,10865.03614,3821.140246,2766.111738,1478.424603,7404.345749,7663.907604,7960.05732,2573.400163
25872.75693,6670.998107,11020.59952,3875.850555,2805.716363,1499.592386,7497.93737,7717.343401,8050.286192,2607.189966
25353.22722,6670.998107,10722.4222,3770.984144,2729.803889,1459.018873,7318.5449,7614.91992,7877.339298,2542.423098
24787.00478,6670.998107,10397.44621,3656.692867,2647.068783,1414.798817,7123.029536,7503.291131,7688.848806,2471.835308
25527.71136,6670.998107,10822.56511,3806.203547,2755.299107,1472.645495,7378.793893,7649.318864,7935.423543,2564.175062
25554.21083,6633.819214,10859.11247,3819.056943,2764.603642,1477.618559,7395.946505,7639.960167,7947.380074,2570.924087
25287.99638,6589.642011,10731.67709,3774.239008,2732.160075,1460.278202,7313.531962,7570.148933,7862.484831,2541.830657
25537.34079,6600.888877,10868.33007,3822.298693,2766.950334,1478.872814,7397.209257,7623.717767,7944.541016,2571.872749
26091.77915,6585.028121,11195.64583,3937.412843,2850.281116,1523.411245,7592.069484,7726.802175,8130.446142,2642.46135
26505.87281,6536.008078,11461.44391,4030.891754,2917.950213,1559.578858,7745.606213,7789.211779,8272.427884,2698.626934
26361.61205,6527.170809,11383.71936,4003.556696,2898.162448,1549.002742,7697.695428,7757.304958,8225.149938,2681.461728
26021.63321,6499.824885,11204.28776,3940.452139,2852.481253,1524.587169,7586.18743,7679.553197,8114.279887,2641.612696
25659.93348,6592.501171,10943.50456,3848.736919,2786.088885,1489.10194,7441.345618,7644.596513,7986.058338,2587.93301
25888.32002,6580.777793,11081.31252,3897.202799,2821.173188,1507.853711,7522.730333,7685.023772,8063.074784,2617.491126
24760.733,6599.175128,10423.58972,3665.887318,2653.724618,1418.356211,7129.417159,7469.940036,7686.159591,2475.216211
24596.87572,6658.858144,10295.29168,3620.765995,2621.06143,1400.898471,7059.991401,7461.046091,7626.580202,2449.258029
24068.20495,6332.11921,10179.39553,3580.00631,2591.555619,1385.128278,6947.769987,7228.661048,7478.142403,2413.63151
25013.66448,6378.371014,10695.4841,3761.510245,2722.945762,1455.353359,7264.279829,7433.196832,7788.977449,2527.210372
23860.54568,6516.194119,9954.5648,3500.935266,2534.316332,1354.535164,6836.445326,7259.922922,7393.492439,2370.684993
23930.06061,6469.606048,10021.20061,3524.370509,2551.281033,1363.602416,6870.476318,7255.353936,7420.561863,2383.668493
23683.30393,6503.558308,9860.091362,3467.709766,2510.264494,1341.679997,6777.963876,7220.02408,7335.555718,2349.760254
24047.36065,6554.680592,10039.69601,3530.875184,2555.989747,1366.119118,6892.668278,7311.848703,7452.436157,2390.407511
25447.08045,6552.425443,10844.34128,3813.862042,2760.843068,1475.608617,7376.473855,7586.914053,7918.580792,2565.111755
24940.36339,6554.503939,10552.3247,3711.162307,2686.499044,1435.873406,7201.058189,7487.831807,7749.72385,2501.749548
25565.3718,6514.693958,10933.88856,3845.355053,2783.640762,1487.793473,7425.440941,7595.435059,7961.140633,2583.355171
25063.54009,6491.451756,10659.20834,3748.752368,2713.710375,1450.417251,7257.162213,7487.384201,7796.045132,2522.94854
25127.01654,6427.42462,10732.38736,3774.488805,2732.340903,1460.37485,7292.861724,7474.784486,7822.574939,2536.795389
24437.62305,6423.497721,10338.97273,3636.128247,2632.182117,1406.842229,7055.660891,7337.332671,7593.413014,2451.21647
24913.76543,6369.393636,10643.30079,3743.157821,2709.660499,1448.252684,7231.717201,7409.980812,7756.478942,2515.588476
24967.60151,6384.479345,10665.54106,3750.979533,2715.322613,1451.278956,7247.059625,7426.511596,7773.128407,2520.90188
25080.16989,6247.306309,10808.87689,3801.38952,2751.814248,1470.782916,7315.454429,7394.899581,7822.168473,2547.647403
24851.14325,6267.821738,10665.65548,3751.019772,2715.351741,1451.294525,7231.956284,7357.794706,7744.197559,2517.194703
25320.55284,6280.977377,10927.51649,3843.114051,2782.018508,1486.926415,7391.21076,7455.497321,7899.350562,2574.494202
27130.4581,6161.787133,12034.69574,4232.499519,3063.893458,1637.582245,8041.821637,7765.562918,8511.902827,2811.170714
26992.66781,6228.736508,11917.18808,4191.17308,3033.977375,1621.59277,7979.832739,7764.658132,8460.388179,2787.788762
26779.4889,6251.617888,11781.70435,4143.524612,2999.484794,1603.157261,7901.29753,7731.605596,8387.493328,2759.092449
25740.26638,6206.742854,11211.01155,3942.816838,2854.19305,1525.502086,7552.115197,7509.124785,8045.329307,2633.697089
26080.72775,6262.394003,11374.47467,4000.305419,2895.808859,1547.744801,7657.697383,7598.074062,8153.973168,2670.983142
25848.66149,6242.606521,11252.64003,3957.457217,2864.791176,1531.166547,7581.824478,7544.5616,8078.388908,2643.886505
24757.40335,6313.904036,10585.40634,3722.796839,2694.921247,1440.374884,7189.669326,7357.389438,7709.106503,2501.238083
25418.9266,6349.014946,10944.92755,3849.237373,2786.451162,1489.295568,7410.534564,7501.578287,7926.361096,2580.452656
24820.04767,6445.54138,10545.8087,3708.870686,2684.840147,1434.986763,7182.966588,7421.372721,7718.860005,2496.848358
25228.2703,6414.186657,10798.09839,3797.598813,2749.070167,1469.316266,7330.673769,7489.553881,7857.397712,2550.644933
24446.11937,6500.582097,10299.60752,3622.283837,2622.160191,1401.485734,7042.002977,7369.243116,7589.741271,2445.132011
